gene,US,MH,GH,AN,sum,max_PBE,max_PBE_pop,chr,pos,max_PCAdapt,enzyme_descriptors,pathway_ids,pathway_names
Zm00001d026559,1,1,1,1,4,1.22232930950887,GH,10,148124796,8.69373277024488,Phosphatidylinositol 4-kinase gamma 7,PWY-6351 | PWY-6352,"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis | 3-phosphoinositide biosynthesis"
Zm00001d024765,1,1,1,1,4,1.17476430305388,AN,10,87212441,8.72299143460908,Soluble diacylglycerol acyltransferase,TRIGLSYN-PWY | zma00561,diacylglycerol and triacylglycerol biosynthesis
Zm00001d042152,1,1,1,1,4,1.11256509005226,US,3,153905756,0.855823967032721,Glycerol-3-phosphate dehydrogenase [NAD(+)] GPDHC1 cytosolic,PWY-6118 | zma00564,glycerol-3-phosphate shuttle
Zm00001d014386,1,1,1,1,4,1.10388064822764,US,5,44144606,6.89546034221829,Patatin-like protein 6,LIPASYN-PWY | PWY-6803 | PWY-7416,"phospholipases | phosphatidylcholine acyl editing | phospholipid remodeling (phosphatidylcholine, yeast)"
Zm00001d006507,1,1,1,1,4,1.07954328277888,GH,2,210159983,23.6414439589248,Phospholipase A I,LIPASYN-PWY | PWY-6803,phospholipases | phosphatidylcholine acyl editing
Zm00001d048721,1,1,1,1,4,1.07654458154438,US,4,4178736,0.235889400155134,Lipase  ,LIPAS-PWY,triacylglycerol degradation
Zm00001d030523,1,1,1,1,4,0.873246853081326,US,1,141158957,12.0865815161557,alpha/beta-Hydrolases superfamily protein,LIPAS-PWY,triacylglycerol degradation
Zm00001d043527,1,1,1,1,4,0.866264736827633,AN,3,202756643,11.1259384365926,Putative dual specificity protein phosphatase DSP8,PHOSLIPSYN2-PWY | PWY-5269 | PWY4FS-7 | PWY4FS-8,superpathway of phospholipid biosynthesis II (plants) | cardiolipin biosynthesis II | phosphatidylglycerol biosynthesis I (plastidic) | phosphatidylglycerol biosynthesis II (non-plastidic)
Zm00001d017584,1,1,1,1,4,0.858458806748976,US,5,200699034,99.3125197800331,Lysophospholipid acyltransferase 1,PWY-6803 | PWY-7416 | zma00561 | zma00564,"phosphatidylcholine acyl editing | phospholipid remodeling (phosphatidylcholine, yeast)"
Zm00001d012898,1,1,1,1,4,0.845643177089361,AN,5,1763780,4.66003644000879,Mono-/di-acylglycerol lipase N-terminal;Lipase class 3,LIPAS-PWY,triacylglycerol degradation
Zm00001d039274,1,1,1,1,4,0.730807958863173,GH,3,903181,5.02575083387104,4-coumarate--CoA ligase-like 1,PWY-6803,phosphatidylcholine acyl editing
Zm00001d043291,1,1,1,1,4,0.666906171337203,AN,3,194732182,35.2764081252434,Purple acid phosphatase 10,PWY-6348,phosphate acquisition
Zm00001d022493,1,1,0,1,3,2.18834450200172,AN,7,178727962,12.7355173164029,alpha/beta-Hydrolases superfamily protein,LIPAS-PWY,triacylglycerol degradation
Zm00001d006837,1,0,1,1,3,1.80512837049319,AN,2,217663179,4.41812703841451,Phosphoethanolamine N-methyltransferase 3,PHOSLIPSYN2-PWY | PWY-3385 | PWY-4762 | PWY4FS-2 | PWY4FS-3 | PWY4FS-4 | PWY4FS-5,superpathway of phospholipid biosynthesis II (plants) | choline biosynthesis I | superpathway of choline biosynthesis | phosphatidylcholine biosynthesis II | phosphatidylcholine biosynthesis III | phosphatidylcholine biosynthesis IV | superpathway of phosphatidylcholine biosynthesis
Zm00001d040901,1,1,1,0,3,1.80443154297518,US,NA,NA,NA,BZIP protein,PWY-6352,3-phosphoinositide biosynthesis
Zm00001d033056,1,1,0,1,3,1.65884221499747,AN,1,248801801,37.3665215774916,Purple acid phosphatase  ,PWY-6348,phosphate acquisition
Zm00001d027916,0,1,1,1,3,1.61474881710442,AN,NA,NA,NA,Phosphoinositide phosphatase SAC2,PWY-6352,3-phosphoinositide biosynthesis
Zm00001d033670,1,1,0,1,3,1.6134220972591,MH,1,270258841,28.2274969651701,Phosphatidylinositol 4-phosphate 5-kinase 2,PWY-6351 | PWY-6352,"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis | 3-phosphoinositide biosynthesis"
Zm00001d053957,1,1,1,0,3,1.56511152729365,US,4,244195837,8.48944775201261,Phosphatidate cytidylyltransferase  ,PHOSLIPSYN2-PWY | PWY-5667 | PWY0-1319 | PWY4FS-7 | PWY4FS-8,superpathway of phospholipid biosynthesis II (plants) | CDP-diacylglycerol biosynthesis I | CDP-diacylglycerol biosynthesis II | phosphatidylglycerol biosynthesis I (plastidic) | phosphatidylglycerol biosynthesis II (non-plastidic)
Zm00001d035030,1,1,0,1,3,1.56071590135572,AN,6,2399320,9.46315116525802,Phosphoinositide phosphatase SAC1,PWY-6352,3-phosphoinositide biosynthesis
Zm00001d022615,0,1,1,1,3,1.51208395958832,AN,7,181113891,9.47484302707391,GDSL esterase/lipase EXL3,LIPAS-PWY,triacylglycerol degradation
Zm00001d047663,1,1,0,1,3,1.47737071622216,US,9,138535809,5.09243572335911,Acetate/butyrate--CoA ligase AAE7 peroxisomal,PWY-6803,phosphatidylcholine acyl editing
Zm00001d040981,1,1,1,0,3,1.40508869619578,US,NA,NA,NA,alpha/beta-Hydrolases superfamily protein,LIPAS-PWY,triacylglycerol degradation
Zm00001d029550,1,1,1,0,3,1.39107957412822,MH,1,75797194,0.663763796209224,Diacylglycerol kinase 1,PWY-7039 | zma00561 | zma00564,"phosphatidate metabolism, as a signaling molecule"
Zm00001d028482,1,0,1,1,3,1.38576153387033,AN,1,36512600,15.2535297947243,Patatin-like protein 3  ,LIPASYN-PWY | PWY-6803 | PWY-7416,"phospholipases | phosphatidylcholine acyl editing | phospholipid remodeling (phosphatidylcholine, yeast)"
Zm00001d020647,1,1,1,0,3,1.36769543193148,GH,7,126452380,23.9969857414352,Phospholipid:diacylglycerol acyltransferase 1,PWY-7416 | TRIGLSYN-PWY | zma00561,"phospholipid remodeling (phosphatidylcholine, yeast) | diacylglycerol and triacylglycerol biosynthesis"
Zm00001d053009,1,1,1,0,3,1.35402524340863,MH,4,208868056,1.45286025306351,Long chain acyl-CoA synthetase 9 chloroplastic,PWY-6803,phosphatidylcholine acyl editing
Zm00001d020380,1,1,1,0,3,1.35402524340863,MH,7,110167633,0.859514518118679,alpha/beta-Hydrolases superfamily protein,LIPAS-PWY | zma00561,triacylglycerol degradation
Zm00001d042868,1,0,1,1,3,1.34975050326415,AN,3,182510005,10.040060530156,Aldo-keto reductase family 4 member C9,zma00561,NA
Zm00001d042869,1,0,1,1,3,1.34975050326415,AN,3,182510005,10.040060530156,Aldose reductase  ,zma00561,NA
Zm00001d011661,1,1,1,0,3,1.28093304546238,MH,8,157815834,61.5316672924036,GDSL esterase/lipase APG,LIPAS-PWY,triacylglycerol degradation
Zm00001d021131,1,0,1,1,3,1.27334454589114,GH,7,143430635,0.000944971733455,Phospholipase A(1) LCAT3,LIPASYN-PWY | PWY-6803 | zma00564,phospholipases | phosphatidylcholine acyl editing
Zm00001d007638,1,1,1,0,3,1.26297895128879,US,2,236713324,0.000133146730263, phospholipid synthesis1,PHOSLIPSYN2-PWY | PWY-5667 | PWY4FS-8 | TRIGLSYN-PWY | zma00561 | zma00564,superpathway of phospholipid biosynthesis II (plants) | CDP-diacylglycerol biosynthesis I | phosphatidylglycerol biosynthesis II (non-plastidic) | diacylglycerol and triacylglycerol biosynthesis
Zm00001d033683,0,1,1,1,3,1.25743747033311,AN,1,271131943,1.35443621752142,Phospholipase A2  ,LIPASYN-PWY | PWY-6803 | PWY-7416 | zma00564,"phospholipases | phosphatidylcholine acyl editing | phospholipid remodeling (phosphatidylcholine, yeast)"
Zm00001d020414,1,0,1,1,3,1.25743747033311,AN,7,112336065,0.042606225449404,Putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1C,PWY-6352,3-phosphoinositide biosynthesis
Zm00001d033187,1,1,1,0,3,1.22232930950887,GH,1,253272275,4.78915768802175,Glycerophosphoryl diester phosphodiesterase  ,PWY-6952 | zma00564,glycerophosphodiester degradation
Zm00001d050917,0,1,1,1,3,1.22232930950887,GH,4,130889140,10.4363792121596,Glycerophosphodiester phosphodiesterase GDPDL3,PWY-6952,glycerophosphodiester degradation
Zm00001d011642,0,1,1,1,3,1.19880858143629,AN,8,157263627,8.88420476811749,Phosphoethanolamine N-methyltransferase 3,PHOSLIPSYN2-PWY | PWY-3385 | PWY-4762 | PWY4FS-2 | PWY4FS-3 | PWY4FS-4 | PWY4FS-5 | zma00564,superpathway of phospholipid biosynthesis II (plants) | choline biosynthesis I | superpathway of choline biosynthesis | phosphatidylcholine biosynthesis II | phosphatidylcholine biosynthesis III | phosphatidylcholine biosynthesis IV | superpathway of phosphatidylcholine biosynthesis
Zm00001d042876,1,1,0,1,3,1.1897731670655,MH,3,182600165,3.87437330437564,Phospholipid/glycerol acyltransferase family protein,PHOSLIPSYN2-PWY | PWY-5667 | PWY4FS-8 | TRIGLSYN-PWY,superpathway of phospholipid biosynthesis II (plants) | CDP-diacylglycerol biosynthesis I | phosphatidylglycerol biosynthesis II (non-plastidic) | diacylglycerol and triacylglycerol biosynthesis
Zm00001d032973,1,0,1,1,3,1.1810847094608,AN,1,245151413,30.6957888553864,Glycerol-3-phosphate acyltransferase 5,PHOSLIPSYN2-PWY | PWY-5667 | PWY4FS-8 | TRIGLSYN-PWY,superpathway of phospholipid biosynthesis II (plants) | CDP-diacylglycerol biosynthesis I | phosphatidylglycerol biosynthesis II (non-plastidic) | diacylglycerol and triacylglycerol biosynthesis
Zm00001d029955,1,1,1,0,3,1.17568812858199,MH,1,96293690,1.10006464038959,Phospholipase A1-Ibeta2 chloroplastic,LIPAS-PWY | LIPASYN-PWY | PWY-6803,triacylglycerol degradation | phospholipases | phosphatidylcholine acyl editing
Zm00001d025343,1,1,1,0,3,1.10388064822764,US,10,114919728,3.41814697191762,Purple acid phosphatase 22,PWY-6348,phosphate acquisition
Zm00001d005849,1,0,1,1,3,1.09993803793583,GH,2,190825756,3.09281852601833,Histone H3 K4-specific methyltransferase SET7/9 family protein,PWY-6351 | PWY-6352,"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis | 3-phosphoinositide biosynthesis"
Zm00001d024967,1,1,0,1,3,1.08410029191347,US,10,97279080,1.78228043614644,Glycerol-3-phosphate dehydrogenase SDP6 mitochondrial,PWY-6118 | PWY-6952 | zma00564,glycerol-3-phosphate shuttle | glycerophosphodiester degradation
Zm00001d014906,1,0,1,1,3,1.08410029191347,US,5,67678882,2.57530617965716,Phosphoinositide phospholipase C 4,LIPASYN-PWY | PWY-6351 | PWY-7039,"phospholipases | D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis | phosphatidate metabolism, as a signaling molecule"
Zm00001d017149,1,1,1,0,3,1.07954328277888,GH,5,187063373,2.41796868174636,Serine/threonine protein kinase,PWY-6952,glycerophosphodiester degradation
Zm00001d048766,1,0,1,1,3,1.02209854853866,AN,4,5225252,1.81946533118201, phospholipid synthesis2,PHOSLIPSYN2-PWY | PWY-5667 | PWY4FS-8 | TRIGLSYN-PWY,superpathway of phospholipid biosynthesis II (plants) | CDP-diacylglycerol biosynthesis I | phosphatidylglycerol biosynthesis II (non-plastidic) | diacylglycerol and triacylglycerol biosynthesis
Zm00001d043263,0,1,1,1,3,1.02153619161191,MH,3,193706396,66.6990223972683,Diacylglycerol kinase 5,PWY-7039 | zma00561 | zma00564,"phosphatidate metabolism, as a signaling molecule"
Zm00001d039542,1,1,1,0,3,1.00745201027138,MH,3,7736885,110.282977088813,Phospholipase A1-Igamma1 chloroplastic,LIPAS-PWY | LIPASYN-PWY | PWY-6803,triacylglycerol degradation | phospholipases | phosphatidylcholine acyl editing
Zm00001d045910,1,1,1,0,3,0.991885260911239,GH,9,47004175,4.35898285593509,Phosphatidylinositol 4-phosphate 5-kinase 8,PWY-6351 | PWY-6352,"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis | 3-phosphoinositide biosynthesis"
Zm00001d025958,0,1,1,1,3,0.96248651436401,GH,10,134778854,6.79623239771023,Aldehyde dehydrogenase  ,zma00561,NA
Zm00001d053252,1,1,1,0,3,0.96248651436401,GH,4,222458730,2.42430171790606,GDSL esterase/lipase ,LIPAS-PWY,triacylglycerol degradation
Zm00001d013935,1,1,1,0,3,0.96248651436401,GH,5,25233160,0.765408246551896,WAPL (Wings apart-like protein regulation of heterochromatin) protein,PHOSLIPSYN2-PWY | PWY-5667 | PWY4FS-8 | TRIGLSYN-PWY,superpathway of phospholipid biosynthesis II (plants) | CDP-diacylglycerol biosynthesis I | phosphatidylglycerol biosynthesis II (non-plastidic) | diacylglycerol and triacylglycerol biosynthesis
Zm00001d004913,1,0,1,1,3,0.925004283225234,AN,2,148162730,0.891496794685118,Dual specificity protein phosphatase Diacylglycerol kinase catalytic region,PHOSLIPSYN2-PWY | PWY-5269 | PWY4FS-7 | PWY4FS-8,superpathway of phospholipid biosynthesis II (plants) | cardiolipin biosynthesis II | phosphatidylglycerol biosynthesis I (plastidic) | phosphatidylglycerol biosynthesis II (non-plastidic)
Zm00001d002085,1,0,1,1,3,0.918677227822859,AN,2,5768653,3.22530072900572,Glycerol kinase,zma00561,NA
Zm00001d014911,1,0,1,1,3,0.891105598709658,US,5,67864802,7.04134984292019,Phosphatidylinositol-4-phosphate 5-kinase 9  ,PWY-6351 | PWY-6352,"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis | 3-phosphoinositide biosynthesis"
Zm00001d028731,1,1,1,0,3,0.850111893877435,GH,1,44532059,22.3584667332039,Dolichyldiphosphatase 1  ,TRIGLSYN-PWY,diacylglycerol and triacylglycerol biosynthesis
Zm00001d040094,0,1,1,1,3,0.845643177089361,AN,3,27362778,1.81317366998488,G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5,PWY-6952,glycerophosphodiester degradation
Zm00001d037643,1,0,1,1,3,0.844647131150473,GH,6,132728067,1.01229559261543, phospholipase D4,LIPASYN-PWY | PWY-3561 | PWY-4762 | PWY-7039 | zma00564,"phospholipases | choline biosynthesis III | superpathway of choline biosynthesis | phosphatidate metabolism, as a signaling molecule"
Zm00001d034732,0,1,1,1,3,0.828097150260428,AN,1,300959030,6.41879151885412,Glycerol-3-phosphate acyltransferase 1  ,PHOSLIPSYN2-PWY | PWY-5667 | PWY4FS-8 | TRIGLSYN-PWY,superpathway of phospholipid biosynthesis II (plants) | CDP-diacylglycerol biosynthesis I | phosphatidylglycerol biosynthesis II (non-plastidic) | diacylglycerol and triacylglycerol biosynthesis
Zm00001d034591,1,0,1,1,3,0.823012581306453,US,1,297385704,1.3545055690988,Triacylglycerol lipase SDP1,LIPAS-PWY | zma00561 | zma00564,triacylglycerol degradation
Zm00001d049505,1,1,1,0,3,0.821737283297166,GH,4,32685362,2.84377677772901,Choline-phosphate cytidylyltransferase 2,PHOSLIPSYN2-PWY | PWY-3561 | PWY-4762 | PWY3O-450 | PWY4FS-2 | PWY4FS-5 | zma00564,superpathway of phospholipid biosynthesis II (plants) | choline biosynthesis III | superpathway of choline biosynthesis | phosphatidylcholine biosynthesis I | phosphatidylcholine biosynthesis II | superpathway of phosphatidylcholine biosynthesis
Zm00001d046915,0,1,1,1,3,0.813863695667344,AN,9,110360959,138.643775689653,Putative AMP-dependent synthetase and ligase superfamily protein  ,PWY-6803,phosphatidylcholine acyl editing
Zm00001d005561,1,0,1,1,3,0.813360791023554,AN,NA,NA,NA,Triacylglycerol lipase SDP1,LIPAS-PWY,triacylglycerol degradation
Zm00001d015960,0,1,1,1,3,0.805735339016121,GH,5,134288419,6.83291582575291,SGNH hydrolase-type esterase superfamily protein,LIPAS-PWY,triacylglycerol degradation
Zm00001d043376,0,1,1,1,3,0.802994487742825,GH,3,198074691,6.92955113155084,Long-chain-fatty-acid-CoA ligase-like protein  ,PWY-6803,phosphatidylcholine acyl editing
Zm00001d047447,1,1,0,1,3,0.793828142247621,AN,9,130370415,25.7273108414035,Phosphoinositide phospholipase C 2,LIPASYN-PWY | PWY-6351 | PWY-7039,"phospholipases | D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis | phosphatidate metabolism, as a signaling molecule"
Zm00001d004197,1,1,1,0,3,0.780464779542334,US,2,90768642,36.1830840230629,Triacylglycerol lipase 2,LIPAS-PWY,triacylglycerol degradation
Zm00001d044052,1,0,1,1,3,0.756013878515939,AN,3,217884125,16.6731251035771,Phospholipase A1-IIgamma,LIPAS-PWY | LIPASYN-PWY | PWY-6803,triacylglycerol degradation | phospholipases | phosphatidylcholine acyl editing
Zm00001d052616,1,0,1,1,3,0.755478418898403,AN,4,194839040,0.55365863533906,Phospholipase A2  ,LIPASYN-PWY | PWY-6803 | PWY-7416,"phospholipases | phosphatidylcholine acyl editing | phospholipid remodeling (phosphatidylcholine, yeast)"
Zm00001d040666,1,1,1,0,3,0.723919839227199,MH,3,57045454,11.9764081065795,alpha/beta-Hydrolases superfamily protein,zma00561,NA
Zm00001d015029,1,1,0,1,3,0.708718217404909,AN,5,72788988,14.7599664906577,Ethanolaminephosphotransferase  ,PHOSLIPSYN2-PWY | PWY-3561 | PWY-4762 | PWY3O-450 | PWY4FS-2 | PWY4FS-5 | PWY4FS-6 | zma00564,superpathway of phospholipid biosynthesis II (plants) | choline biosynthesis III | superpathway of choline biosynthesis | phosphatidylcholine biosynthesis I | phosphatidylcholine biosynthesis II | superpathway of phosphatidylcholine biosynthesis | phosphatidylethanolamine biosynthesis II
Zm00001d005770,1,0,1,1,3,0.694118210993956,AN,2,187675666,0.680620007732532, phospholipase D8,LIPASYN-PWY | PWY-3561 | PWY-4762 | PWY-7039,"phospholipases | choline biosynthesis III | superpathway of choline biosynthesis | phosphatidate metabolism, as a signaling molecule"
Zm00001d023580,1,1,1,0,3,0.6505355101697,GH,10,10657037,3.2765800480033,Aldehyde dehydrogenase  ,zma00561,NA
Zm00001d053101,1,1,0,1,3,0.648005851616146,AN,4,213757018,3.20532748238843,NA,PHOSLIPSYN2-PWY | PWY-5667 | PWY0-1319 | PWY4FS-7 | PWY4FS-8,superpathway of phospholipid biosynthesis II (plants) | CDP-diacylglycerol biosynthesis I | CDP-diacylglycerol biosynthesis II | phosphatidylglycerol biosynthesis I (plastidic) | phosphatidylglycerol biosynthesis II (non-plastidic)
Zm00001d035063,1,1,1,0,3,0.642499122014578,US,6,3473063,11.9728427843275,GDSL esterase/lipase ,LIPAS-PWY,triacylglycerol degradation
Zm00001d038959,0,1,1,1,3,0.634994187770549,AN,6,167699483,18.5483820079925,O-acyltransferase WSD1,TRIGLSYN-PWY,diacylglycerol and triacylglycerol biosynthesis
Zm00001d008493,1,1,0,1,3,0.612507376168922,AN,NA,NA,NA,CDP-diacylglycerol--serine O-phosphatidyltransferase 1,PHOSLIPSYN2-PWY | PWY-5669 | zma00564,superpathway of phospholipid biosynthesis II (plants) | phosphatidylethanolamine biosynthesis I
Zm00001d017418,1,0,1,1,3,0.610156101998292,AN,5,195392725,12.3715934146957,Aldehyde dehydrogenase  ,zma00561,NA
Zm00001d028698,1,0,1,1,3,0.567717908631027,AN,1,43446514,8.27594360878073,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase  ,PHOSLIPSYN2-PWY | PWY-5269 | PWY4FS-7 | PWY4FS-8 | zma00564,superpathway of phospholipid biosynthesis II (plants) | cardiolipin biosynthesis II | phosphatidylglycerol biosynthesis I (plastidic) | phosphatidylglycerol biosynthesis II (non-plastidic)
Zm00001d023238,1,0,0,1,2,2.18834450200172,AN,NA,NA,NA,Long chain acyl-CoA synthetase 6 peroxisomal,PWY-6803,phosphatidylcholine acyl editing
Zm00001d014918,0,0,1,1,2,2.18834450200172,AN,5,68358348,19.3649349073826,GDSL esterase/lipase EXL3,LIPAS-PWY,triacylglycerol degradation
Zm00001d028746,1,0,0,1,2,1.85102335671975,AN,1,45176202,21.2837264851074,Phosphoinositide phospholipase C 4,LIPASYN-PWY | PWY-6351 | PWY-7039,"phospholipases | D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis | phosphatidate metabolism, as a signaling molecule"
Zm00001d013406,0,1,0,1,2,1.85102335671975,AN,5,10487757,3.08522637464891,alpha/beta-Hydrolases superfamily protein,LIPAS-PWY | zma00561,triacylglycerol degradation
Zm00001d018382,1,0,0,1,2,1.85102335671975,AN,5,219608621,30.9079549191239,protein kinase family protein / WD-40 repeat family protein,PWY-6352,3-phosphoinositide biosynthesis
Zm00001d052810,1,0,0,1,2,1.82619923790067,US,4,201668175,7.19790317041983,Esterase/lipase/thioesterase  ,LIPAS-PWY,triacylglycerol degradation
Zm00001d006841,0,1,0,1,2,1.74779340858797,AN,2,217682742,5.86085578067854,alpha/beta-Hydrolases superfamily protein,LIPAS-PWY,triacylglycerol degradation
Zm00001d022291,0,1,0,1,2,1.74779340858797,AN,7,174598551,0.499164923030452,Putative 1-phosphatidylinositol-3-phosphate 5-kinase FAB1D,PWY-6352,3-phosphoinositide biosynthesis
Zm00001d038211,1,0,0,1,2,1.65884221499747,AN,6,151751863,2.68015795511143,Anther-specific proline-rich protein APG  ,LIPAS-PWY,triacylglycerol degradation
Zm00001d042883,1,0,0,1,2,1.61474881710442,AN,NA,NA,NA,Probable methyltransferase PMT10,PHOSLIPSYN2-PWY | PWY-3385 | PWY-4762 | PWY4FS-2 | PWY4FS-3 | PWY4FS-4 | PWY4FS-5,superpathway of phospholipid biosynthesis II (plants) | choline biosynthesis I | superpathway of choline biosynthesis | phosphatidylcholine biosynthesis II | phosphatidylcholine biosynthesis III | phosphatidylcholine biosynthesis IV | superpathway of phosphatidylcholine biosynthesis
Zm00001d006231,1,0,1,0,2,1.56511152729365,US,2,202416608,0.777615290804503,PLC-like phosphodiesterases superfamily protein,LIPASYN-PWY | PWY-6351 | PWY-7039,"phospholipases | D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis | phosphatidate metabolism, as a signaling molecule"
Zm00001d043841,0,0,1,1,2,1.56071590135572,AN,3,211601432,8.33410720356074,Katanin p60 ATPase-containing subunit A1,zma00561,NA
Zm00001d005579,1,0,0,1,2,1.50957895376842,AN,2,179323255,3.57171035139824,Lipid phosphate phosphatase 2,PWY-7039 | TRIGLSYN-PWY | zma00561 | zma00564,"phosphatidate metabolism, as a signaling molecule | diacylglycerol and triacylglycerol biosynthesis"
Zm00001d043851,1,0,0,1,2,1.50957895376842,AN,3,212035576,19.0226135657341,Long chain acyl-CoA synthetase 5,PHOSLIPSYN2-PWY | PWY-6351 | PWY-6352 | PWY-6803,"superpathway of phospholipid biosynthesis II (plants) | D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis | 3-phosphoinositide biosynthesis | phosphatidylcholine acyl editing"
Zm00001d002163,0,0,1,1,2,1.3769836171188,GH,2,6959483,0.349520689899678,Diacylglycerol kinase 5,PWY-7039 | zma00561 | zma00564,"phosphatidate metabolism, as a signaling molecule"
Zm00001d014760,0,0,1,1,2,1.36769543193148,GH,5,61827296,3.34854461799189,Lysophospholipid acyltransferase LPEAT2,zma00564,NA
Zm00001d009929,0,1,1,0,2,1.36769543193148,GH,8,90225572,31.0095729384857,Beta-propeller domain of methanol dehydrogenase type%3B Beta-propeller domains of methanol dehydrogenase type  ,PWY-6348,phosphate acquisition
Zm00001d023815,0,1,0,1,2,1.35402524340863,MH,10,23246392,3.35065881595695,Putative lipase class 3 family protein  ,LIPAS-PWY,triacylglycerol degradation
Zm00001d046642,1,0,0,1,2,1.3371415630685,AN,9,100133235,27.0980184597508,GDSL esterase/lipase ,LIPAS-PWY,triacylglycerol degradation
Zm00001d050089,1,0,0,1,2,1.3355809354829,US,4,65083935,0.868084783943405,Putative 1-phosphatidylinositol-4-phosphate 5-kinase/ zinc ion binding family  ,PWY-6352,3-phosphoinositide biosynthesis
Zm00001d011827,1,0,0,1,2,1.25743747033311,AN,8,162216844,45.7455715323314,Phosphatidylserine decarboxylase proenzyme 3,PHOSLIPSYN2-PWY | PWY-5669 | zma00564,superpathway of phospholipid biosynthesis II (plants) | phosphatidylethanolamine biosynthesis I
Zm00001d046508,0,1,0,1,2,1.25743747033311,AN,9,93068252,0.294554453520708, phospholipase D5,LIPASYN-PWY | PWY-3561 | PWY-4762 | PWY-7039 | zma00564,"phospholipases | choline biosynthesis III | superpathway of choline biosynthesis | phosphatidate metabolism, as a signaling molecule"
Zm00001d042813,1,1,0,0,2,1.24375451574449,MH,3,181000605,0.389934984347712, glycerol-3-phosphosphate acyltransferase1,PHOSLIPSYN2-PWY | PWY-5667 | PWY4FS-8 | TRIGLSYN-PWY | zma00561 | zma00564,superpathway of phospholipid biosynthesis II (plants) | CDP-diacylglycerol biosynthesis I | phosphatidylglycerol biosynthesis II (non-plastidic) | diacylglycerol and triacylglycerol biosynthesis
Zm00001d045647,1,0,1,0,2,1.22232930950887,GH,9,30895358,7.55357262390702,GDSL esterase/lipase ,LIPAS-PWY,triacylglycerol degradation
Zm00001d011734,1,0,0,1,2,1.22183043831496,AN,8,160235234,4.75646536874206,Inorganic pyrophosphatase 1,PWY-6348 | zma00564,phosphate acquisition
Zm00001d037760,1,1,0,0,2,1.20467562885689,US,6,136597839,2.96824178418229,O-acyltransferase  ,TRIGLSYN-PWY | zma00561,diacylglycerol and triacylglycerol biosynthesis
